Iteration	Replicate_ID	Posterior	Likelihood	Prior	br_len_lambda	tree_length
275	1	-293.2865	0	-293.2865	2.169645	61.9032
276	0	-164.1903	0	-164.1903	5.273161	23.60634
277	1	-323.9284	0	-323.9284	2.183588	75.9355
278	0	-188.8038	0	-188.8038	3.904387	27.86502
279	1	-317.076	0	-317.076	1.737737	73.78366
280	0	-239.2747	0	-239.2747	3.325633	41.41259
281	1	-339.9772	0	-339.9772	1.444223	87.38249
282	0	-223.5168	0	-223.5168	4.362795	36.30788
283	1	-299.3476	0	-299.3476	1.826027	64.16167
284	0	-257.9829	0	-257.9829	2.699735	47.5632
285	1	-302.8655	0	-302.8655	2.375371	65.70576
286	0	-261.9099	0	-261.9099	2.571703	48.91762
287	1	-322.3959	0	-322.3959	1.582927	76.42226
288	0	-312.8827	0	-312.8827	1.61326	70.6731
289	1	-344.2037	0	-344.2037	1.302469	89.45155
290	0	-300.2317	0	-300.2317	2.351878	64.67367
291	1	-324.8912	0	-324.8912	1.713331	78.28449
292	0	-303.2142	0	-303.2142	2.057801	66.63091
293	1	-331.0279	0	-331.0279	1.578229	81.86552
294	0	-296.3915	0	-296.3915	1.743197	61.92906
295	1	-337.7903	0	-337.7903	1.492525	86.05851
296	0	-310.0527	0	-310.0527	1.888661	70.106
297	1	-339.0061	0	-339.0061	1.532368	86.93009
298	0	-310.2053	0	-310.2053	2.278259	69.26321
299	1	-312.5618	0	-312.5618	2.062828	71.15915
300	0	-289.9837	0	-289.9837	2.271495	60.39102
301	1	-298.3546	0	-298.3546	2.196304	64.2076
302	0	-235.258	0	-235.258	3.463651	40.17965
303	1	-248.6205	0	-248.6205	3.015859	44.40895
304	0	-212.6498	0	-212.6498	3.385919	33.52455
305	1	-244.7886	0	-244.7886	2.781044	42.86278
306	0	-222.1845	0	-222.1845	3.660164	36.47524
307	1	-187.8303	0	-187.8303	4.527451	28.20254
308	0	-202.229	0	-202.229	4.519286	31.38599
309	1	-199.7384	0	-199.7384	3.910963	30.67182
310	0	-191.1959	0	-191.1959	4.852675	28.92246
311	1	-184.9955	0	-184.9955	4.417202	27.51624
312	0	-219.5493	0	-219.5493	4.108456	35.62855
313	1	-178.4845	0	-178.4845	5.6147	26.21304
314	0	-190.8913	0	-190.8913	4.451498	28.8617
315	1	-164.1772	0	-164.1772	5.775671	23.66041
316	0	-226.1568	0	-226.1568	4.262809	37.04926
317	1	-173.6831	0	-173.6831	4.87554	25.32406
318	0	-228.9327	0	-228.9327	3.750483	38.26878
319	1	-206.2876	0	-206.2876	4.045339	32.39263
320	0	-253.4815	0	-253.4815	2.784459	45.99142
321	1	-197.2205	0	-197.2205	4.618123	30.25789
322	0	-305.1492	0	-305.1492	2.174308	67.35917
323	1	-182.8274	0	-182.8274	5.887175	26.81492
324	0	-327.142	0	-327.142	1.666481	79.59552
325	1	-175.4602	0	-175.4602	4.144109	24.9628
326	0	-337.7117	0	-337.7117	1.559708	86.10359
327	1	-193.6294	0	-193.6294	4.560567	29.48362
328	0	-290.5961	0	-290.5961	2.293742	60.64396
329	1	-157.0797	0	-157.0797	6.09459	22.43783
330	0	-266.8697	0	-266.8697	2.854126	50.72362
331	1	-159.2849	0	-159.2849	5.474055	22.75865
332	0	-270.6962	0	-270.6962	2.240871	51.79419
333	1	-214.7769	0	-214.7769	4.642467	34.03275
334	0	-283.0693	0	-283.0693	2.336166	57.37624
335	1	-263.5391	0	-263.5391	2.699428	49.62122
336	0	-285.6879	0	-285.6879	2.364566	58.482
337	1	-311.1409	0	-311.1409	1.967163	70.64833
338	0	-284.472	0	-284.472	2.608859	57.60862
